portfolio,(ii),(iii),(iv)
SMALL LoBM,-0.20 / -0.74,0.09 / 0.32,-0.40 / -2.73
ME1 BM2,0.19 / 0.88,0.35 / 1.37,-0.09 / -0.77
ME1 BM3,0.20 / 0.93,0.27 / 1.09,-0.16 / -1.60
ME1 BM4,0.41 / 1.97,0.40 / 1.74,-0.01 / -0.10
SMALL HiBM,0.58 / 2.55,0.47 / 1.94,0.04 / 0.47
ME2 BM1,-0.18 / -0.88,0.38 / 1.24,-0.14 / -1.06
ME2 BM2,0.07 / 0.37,0.31 / 1.14,-0.16 / -1.46
ME2 BM3,0.33 / 1.94,0.50 / 1.98,0.05 / 0.58
ME2 BM4,0.49 / 2.86,0.56 / 2.22,0.11 / 1.23
ME2 BM5,0.46 / 2.28,0.44 / 1.63,-0.03 / -0.31
ME3 BM1,-0.20 / -1.20,0.30 / 1.06,-0.19 / -1.71
ME3 BM2,0.37 / 2.43,0.68 / 2.52,0.21 / 1.99
ME3 BM3,0.32 / 2.09,0.54 / 2.05,0.08 / 0.75
ME3 BM4,0.46 / 3.08,0.56 / 2.21,0.11 / 1.16
ME3 BM5,0.58 / 3.46,0.62 / 2.37,0.16 / 1.57
ME4 BM1,-0.05 / -0.41,0.55 / 2.00,0.06 / 0.62
ME4 BM2,0.03 / 0.24,0.44 / 1.58,-0.05 / -0.45
ME4 BM3,0.22 / 1.79,0.50 / 1.85,0.02 / 0.23
ME4 BM4,0.42 / 2.97,0.61 / 2.16,0.12 / 1.04
ME4 BM5,0.45 / 2.44,0.54 / 1.77,0.03 / 0.19
BIG LoBM,-0.02 / -0.20,0.65 / 2.71,0.22 / 2.76
ME5 BM2,-0.11 / -1.24,0.37 / 1.44,-0.09 / -1.09
ME5 BM3,-0.11 / -1.10,0.27 / 1.04,-0.19 / -1.89
ME5 BM4,0.09 / 0.74,0.36 / 1.34,-0.11 / -1.05
BIG HiBM,0.16 / 0.86,0.26 / 0.83,-0.27 / -1.92
